date,amount,balance,category
2022-12-30,-8.93,3000.0,living expenses/groceries
2022-12-29,-5.77,3008.93,living expenses/groceries
2022-12-29,-40.42,3014.7,mobility/gas
2022-12-29,-11.3,3055.12,living expenses/groceries
2022-12-28,-14.35,3066.42,living expenses/groceries
2022-12-28,-6.32,3080.77,living expenses/groceries
2022-12-28,-33.05,3087.09,living expenses/groceries
2022-12-27,-6.2,3120.14,living expenses/groceries
2022-12-27,-4.14,3126.34,living expenses/groceries
2022-12-22,-35.77,3130.48,living expenses/groceries
2022-12-20,-17.19,3166.25,living expenses/groceries
2022-12-19,-4.5,3183.44,living expenses/groceries
2022-12-19,-105.0,3187.94,leisure/food
2022-12-19,-20.28,3292.94,living expenses/groceries
2022-12-19,-32.03,3313.22,living expenses/groceries
2022-12-19,-7.23,3345.25,living expenses/groceries
2022-12-14,-31.0,3352.48,living expenses/presents
2022-12-14,-5.0,3383.48,living expenses/presents
2022-12-14,-3.99,3388.48,living expenses/phone
2022-12-14,-45.0,3392.47,living expenses/presents
2022-12-12,-26.84,3437.47,living expenses/groceries
2022-12-12,-40.42,3464.31,living expenses/groceries
2022-12-08,-24.5,3504.73,living expenses/presents
2022-12-07,-1.2,3529.23,living expenses/groceries
2022-12-06,-57.0,3530.43,living expenses/cash
2022-12-06,-1000.0,3587.43,flat/rent
2022-12-06,-27.1,4587.43,mobility/gas
2022-12-06,-43.0,4614.53,leisure/going out
2022-12-06,-6.09,4657.53,living expenses/groceries
2022-12-05,-12.0,4663.62,leisure/hobby
2022-12-05,-27.06,4675.62,living expenses/groceries
2022-12-05,-21.57,4702.68,living expenses/groceries
2022-12-05,-72.0,4724.25,mobility/maintenance
2022-12-02,-19.9,4796.25,leisure/sport
2022-12-02,-4.38,4816.15,living expenses/clothes
2022-12-02,-85.0,4820.53,mobility/parking
2022-12-01,2700.0,4905.53,income
2022-12-01,-24.54,2205.53,living expenses/groceries
2022-12-01,-92.56,2230.07,flat/ancillary costs
2022-11-28,-14.2,2322.63,living expenses/groceries
2022-11-21,-5.48,2336.83,leisure/food
2022-11-21,-80.0,2342.31,leisure/food
2022-11-21,-8.3,2422.31,living expenses/groceries
2022-11-21,-13.09,2430.61,living expenses/groceries
2022-11-17,-3.6,2443.7,leisure/food
2022-11-15,-18.98,2447.3,living expenses/groceries
2022-11-15,-51.9,2466.28,mobility/gas
2022-11-14,-10.8,2518.18,living expenses/groceries
2022-11-14,-4.53,2528.98,living expenses/phone
2022-11-14,-25.51,2533.51,living expenses/groceries
2022-11-09,-11.1,2559.02,living expenses/groceries
2022-11-08,-31.52,2570.12,leisure/hobby
2022-11-07,-7.0,2601.64,leisure/food
2022-11-07,-82.72,2608.64,mobility/gas
2022-11-04,-19.9,2691.36,leisure/sport
2022-11-04,-60.0,2711.26,living expenses/presents
2022-11-03,-8.85,2771.26,living expenses/groceries
2022-11-02,-125.0,2780.11,leisure/food
2022-11-01,-92.56,2905.11,flat/ancillary costs
2022-11-01,-1000.0,2997.67,flat/rent
2022-11-01,2700.0,3997.67,income
2022-11-01,-6.15,1297.67,leisure/food
2022-11-01,-85.0,1303.82,mobility/parking
2022-10-31,-8.74,1388.82,living expenses/groceries
2022-10-31,-20.66,1397.56,living expenses/presents
2022-10-31,-7.5,1418.22,mobility/public transport
2022-10-28,-29.61,1425.72,living expenses/groceries
2022-10-27,-6.99,1455.33,leisure/sport
2022-10-24,-54.19,1462.32,mobility/gas
2022-10-24,-63.6,1516.51,vacation/transport
2022-10-21,-29.75,1580.11,living expenses/groceries
2022-10-20,-11.2,1609.86,vacation/various
2022-10-19,-18.34,1621.06,living expenses/groceries
2022-10-17,-55.0,1639.4,leisure/food
2022-10-17,-243.95,1694.4,living expenses/cash
2022-10-17,-49.94,1938.35,living expenses/groceries
2022-10-17,-3.54,1988.29,living expenses/groceries
2022-10-17,-5.5,1991.83,living expenses/groceries
2022-10-17,-27.64,1997.33,living expenses/groceries
2022-10-17,-6.57,2024.97,living expenses/phone
2022-10-17,-60.0,2031.54,vacation/lodging
2022-10-17,-32.0,2091.54,vacation/various
2022-10-17,-8.0,2123.54,leisure/food
2022-10-17,-200.0,2131.54,leisure/food
2022-10-12,-22.0,2331.54,leisure/going out
2022-10-12,-30.19,2353.54,living expenses/groceries
2022-10-11,-5.7,2383.73,living expenses/groceries
2022-10-10,-34.42,2389.43,living expenses/groceries
2022-10-10,-63.05,2423.85,mobility/gas
2022-10-07,-50.0,2486.9,living expenses/cash
2022-10-04,-92.56,2536.9,flat/ancillary costs
2022-10-04,-85.0,2629.46,mobility/parking
2022-10-03,-1000.0,2714.46,flat/rent
2022-10-03,-22.58,3714.46,living expenses/groceries
2022-10-03,-11.9,3737.04,vacation/various
2022-10-01,2700.0,3748.94,income
2022-09-30,-1.89,1048.94,living expenses/groceries
2022-09-28,-48.0,1050.83,leisure/sport
2022-09-26,-6.5,1098.83,leisure/food
2022-09-26,-23.96,1105.33,living expenses/groceries
2022-09-26,-24.99,1129.29,living expenses/groceries
2022-09-26,-59.7,1154.28,living expenses/groceries
2022-09-22,-39.16,1213.98,mobility/gas
2022-09-20,-6.0,1253.14,leisure/sport
2022-09-19,-12.64,1259.14,living expenses/groceries
2022-09-19,-9.8,1271.78,mobility/parking
2022-09-16,-3.76,1281.58,living expenses/groceries
